No,Tanggal,Waktu (WIB),Lintang,Bujur,Kedalaman,Magnitude,Keterangan,Dirasakan
1,2026-01-01,02:45:57,-7.95,117.1,10,2.1,70 km BaratLaut Kab. Sumbawa-NTB,
2,2026-01-01,03:54:04,-9.3,117.15,48,2.0,71 km Tenggara Kab. Sumbawa Barat-NTB,
4,2026-01-01,13:32:37,-7.95,114.16,6,2.1,32 km Tenggara Kab. Situbondo-Jawa Timur,
5,2026-01-01,13:36:55,-9.51,115.98,15,2.6,94 km Selatan Kab. Lombok Barat-NTB,
6,2026-01-01,16:40:50,-9.57,116.23,60,2.5,96 km Selatan Kab. Lombok Tengah-NTB,
7,2026-01-01,22:28:01,-8.44,115.99,10,2.3,21 km BaratLaut Kota Mataram-NTB,
8,2026-01-02,03:44:21,-7.97,114.2,7,2.1,33 km BaratLaut Kab. Banyuwangi-Jawa Timur,
9,2026-01-02,03:59:34,-9.51,117.0,33,2.5,86 km Selatan Kab. Sumbawa Barat-NTB,
10,2026-01-02,06:46:49,-7.91,114.19,11,2.0,30 km Tenggara Kab. Situbondo-Jawa Timur,
11,2026-01-02,07:12:14,-9.61,116.13,26,2.8,102 km Selatan Kab. Lombok Tengah-NTB,
12,2026-01-02,09:59:08,-8.62,116.78,17,2.2,15 km Utara Kab. Sumbawa Barat-NTB,
13,2026-01-02,10:44:47,-8.89,116.87,10,2.0,16 km Selatan Kab. Sumbawa Barat-NTB,
14,2026-01-02,12:15:29,-7.97,114.19,15,2.2,34 km BaratLaut Kab. Banyuwangi-Jawa Timur,
15,2026-01-02,20:43:34,-8.67,115.37,26,1.6,15 km Selatan Kab. Klungkung-Bali,
16,2026-01-02,22:14:27,-9.19,114.36,21,2.5,97 km Selatan Kab. Jembrana-Bali,
17,2026-01-02,23:14:42,-9.47,115.97,26,2.5,89 km Selatan Kab. Lombok Barat-NTB,
18,2026-01-03,00:18:20,-10.82,117.01,10,2.8,230 km Selatan Kab. Sumbawa Barat-NTB,
20,2026-01-03,02:52:53,-10.82,116.64,10,2.8,229 km Selatan Kab. Sumbawa Barat-NTB,
22,2026-01-03,08:11:57,-8.33,114.09,17,2.0,33 km Barat Kab. Banyuwangi-Jawa Timur,
23,2026-01-03,21:17:53,-7.76,116.67,10,2.2,80 km TimurLaut Kab. Lombok Utara-NTB,
24,2026-01-04,00:12:08,-9.38,115.75,35,2.0,88 km BaratDaya Kab. Lombok Barat-NTB,
25,2026-01-04,01:39:20,-9.38,116.39,17,2.8,76 km Selatan Kab. Lombok Tengah-NTB,
26,2026-01-04,08:18:33,-9.3,113.97,27,2.4,127 km BaratDaya Kab. Jembrana-Bali,
27,2026-01-04,09:26:48,-8.92,116.89,10,1.9,20 km Tenggara Kab. Sumbawa Barat-NTB,
28,2026-01-04,22:52:19,-8.44,115.78,38,1.3,18 km Timur Kab. Karangasem-Bali,
30,2026-01-05,15:45:35,-8.46,115.65,17,2.2,4 km Timur Kab. Karangasem-Bali,
31,2026-01-05,21:29:37,-9.51,117.12,33,2.5,90 km Selatan Kab. Sumbawa Barat-NTB,
32,2026-01-05,23:03:22,-8.42,115.76,28,1.8,16 km Timur Kab. Karangasem-Bali,
33,2026-01-06,00:58:18,-8.44,115.75,32,2.9,15 km Timur Kab. Karangasem-Bali,
34,2026-01-06,03:07:31,-9.51,115.58,19,2.6,101 km Tenggara Kota Denpasar-Bali,
35,2026-01-06,03:19:36,-9.54,116.26,39,2.4,93 km Selatan Kab. Lombok Tengah-NTB,
36,2026-01-06,03:24:33,-9.46,115.91,27,2.5,90 km Selatan Kab. Lombok Barat-NTB,
37,2026-01-06,09:10:05,-8.43,115.82,23,2.0,23 km Timur Kab. Karangasem-Bali,
38,2026-01-06,10:38:03,-8.38,115.78,28,2.2,20 km TimurLaut Kab. Karangasem-Bali,
39,2026-01-06,11:11:14,-8.48,115.76,36,1.8,16 km Timur Kab. Karangasem-Bali,
40,2026-01-06,11:20:03,-8.92,116.85,16,2.2,19 km Selatan Kab. Sumbawa Barat-NTB,
42,2026-01-06,12:09:22,-8.47,115.73,38,2.1,13 km Timur Kab. Karangasem-Bali,
43,2026-01-06,12:22:44,-8.39,115.82,15,1.9,23 km Timur Kab. Karangasem-Bali,
44,2026-01-06,17:12:53,-8.46,115.78,29,2.0,18 km Timur Kab. Karangasem-Bali,
45,2026-01-06,17:42:50,-8.24,116.75,10,2.5,52 km TimurLaut Kab. Lombok Timur-NTB,
46,2026-01-06,18:01:52,-8.47,115.8,27,2.1,20 km Timur Kab. Karangasem-Bali,
47,2026-01-06,18:20:10,-8.47,115.8,28,2.0,20 km Timur Kab. Karangasem-Bali,
48,2026-01-06,18:56:05,-8.46,115.75,33,2.8,15 km Timur Kab. Karangasem-Bali,
49,2026-01-06,20:03:00,-8.48,115.75,37,1.9,15 km Timur Kab. Karangasem-Bali,
50,2026-01-06,20:09:07,-8.51,115.74,36,2.5,15 km Tenggara Kab. Karangasem-Bali,
51,2026-01-06,20:27:14,-8.46,116.82,10,2.0,32 km Utara Kab. Sumbawa Barat-NTB,
52,2026-01-06,20:33:00,-8.46,115.78,37,2.2,18 km Timur Kab. Karangasem-Bali,
53,2026-01-06,20:47:34,-8.45,115.78,29,1.8,18 km Timur Kab. Karangasem-Bali,
54,2026-01-06,21:00:13,-8.48,115.78,28,2.0,18 km Timur Kab. Karangasem-Bali,
55,2026-01-06,21:05:12,-8.37,116.74,10,3.0,39 km TimurLaut Kab. Lombok Timur-NTB,
56,2026-01-06,21:19:49,-8.45,115.81,31,2.1,21 km Timur Kab. Karangasem-Bali,
57,2026-01-06,21:34:27,-8.49,115.76,44,1.7,16 km Timur Kab. Karangasem-Bali,
58,2026-01-06,21:35:46,-8.44,115.77,35,1.8,17 km Timur Kab. Karangasem-Bali,
59,2026-01-06,21:57:50,-8.41,115.53,23,1.5,10 km BaratLaut Kab. Karangasem-Bali,
60,2026-01-06,22:00:00,-8.48,115.76,34,1.9,16 km Timur Kab. Karangasem-Bali,
61,2026-01-06,22:05:47,-8.41,115.78,30,1.9,19 km Timur Kab. Karangasem-Bali,
62,2026-01-06,22:16:33,-8.43,115.79,31,1.8,19 km Timur Kab. Karangasem-Bali,
63,2026-01-06,22:19:32,-8.47,115.77,32,2.0,17 km Timur Kab. Karangasem-Bali,
64,2026-01-06,22:34:21,-8.48,115.76,36,1.8,16 km Timur Kab. Karangasem-Bali,
65,2026-01-06,22:36:46,-8.44,115.79,28,1.9,19 km Timur Kab. Karangasem-Bali,
66,2026-01-06,22:37:30,-8.48,115.78,22,2.2,18 km Timur Kab. Karangasem-Bali,
67,2026-01-06,23:04:27,-8.46,115.76,33,2.7,16 km Timur Kab. Karangasem-Bali,
68,2026-01-06,23:35:16,-8.4,115.78,36,2.0,19 km Timur Kab. Karangasem-Bali,
69,2026-01-06,23:48:03,-8.45,115.78,33,1.8,18 km Timur Kab. Karangasem-Bali,
70,2026-01-06,23:49:58,-8.39,115.82,15,1.9,23 km Timur Kab. Karangasem-Bali,
71,2026-01-06,23:51:23,-8.43,115.81,23,2.0,21 km Timur Kab. Karangasem-Bali,
72,2026-01-06,23:58:14,-8.47,115.76,31,2.2,16 km Timur Kab. Karangasem-Bali,
73,2026-01-07,00:11:24,-8.46,115.81,24,1.9,21 km Timur Kab. Karangasem-Bali,
74,2026-01-07,00:37:53,-8.48,115.75,36,2.1,15 km Timur Kab. Karangasem-Bali,
75,2026-01-07,01:05:29,-9.3,113.97,26,2.7,127 km BaratDaya Kab. Jembrana-Bali,
76,2026-01-07,01:29:39,-8.5,115.78,31,2.0,19 km Timur Kab. Karangasem-Bali,
78,2026-01-07,03:41:05,-8.44,115.77,28,2.2,17 km Timur Kab. Karangasem-Bali,
79,2026-01-07,03:42:43,-8.47,115.77,34,2.0,17 km Timur Kab. Karangasem-Bali,
80,2026-01-07,03:45:40,-8.4,115.8,23,2.2,21 km Timur Kab. Karangasem-Bali,
81,2026-01-07,03:46:11,-8.46,115.8,39,2.1,20 km Timur Kab. Karangasem-Bali,
82,2026-01-07,03:47:38,-8.51,115.76,35,2.3,17 km Tenggara Kab. Karangasem-Bali,
83,2026-01-07,03:50:35,-8.52,115.76,35,2.0,18 km Tenggara Kab. Karangasem-Bali,
84,2026-01-07,03:59:28,-9.39,115.92,26,2.4,82 km Selatan Kab. Lombok Barat-NTB,
85,2026-01-07,04:00:21,-8.45,115.8,31,1.8,20 km Timur Kab. Karangasem-Bali,
86,2026-01-07,04:03:03,-8.5,115.78,40,2.0,19 km Timur Kab. Karangasem-Bali,
87,2026-01-07,04:05:03,-8.5,115.77,34,2.0,18 km Timur Kab. Karangasem-Bali,
88,2026-01-07,04:09:06,-8.52,115.77,35,2.2,19 km Tenggara Kab. Karangasem-Bali,
89,2026-01-07,04:11:01,-8.48,115.78,31,2.0,18 km Timur Kab. Karangasem-Bali,
90,2026-01-07,04:16:42,-8.49,115.79,31,1.6,20 km Timur Kab. Karangasem-Bali,
91,2026-01-07,04:19:56,-8.47,115.8,14,1.7,20 km Timur Kab. Karangasem-Bali,
92,2026-01-07,04:20:28,-8.47,115.79,31,1.9,19 km Timur Kab. Karangasem-Bali,
93,2026-01-07,04:28:42,-8.44,115.77,35,2.1,17 km Timur Kab. Karangasem-Bali,
94,2026-01-07,04:32:55,-8.41,115.79,25,1.8,20 km Timur Kab. Karangasem-Bali,
95,2026-01-07,04:34:53,-8.45,115.78,33,2.2,18 km Timur Kab. Karangasem-Bali,
96,2026-01-07,04:36:15,-8.44,115.8,30,2.4,20 km Timur Kab. Karangasem-Bali,
97,2026-01-07,04:37:56,-8.47,115.79,31,1.6,19 km Timur Kab. Karangasem-Bali,
98,2026-01-07,04:44:58,-8.43,115.79,30,1.9,19 km Timur Kab. Karangasem-Bali,
99,2026-01-07,05:00:47,-8.49,115.78,31,2.3,19 km Timur Kab. Karangasem-Bali,
100,2026-01-07,05:25:39,-8.49,115.78,32,2.1,19 km Timur Kab. Karangasem-Bali,
101,2026-01-07,05:40:59,-8.4,115.65,14,1.8,7 km TimurLaut Kab. Karangasem-Bali,
102,2026-01-07,05:58:57,-8.48,115.8,29,2.0,21 km Timur Kab. Karangasem-Bali,
103,2026-01-07,06:28:57,-9.42,114.0,24,2.7,136 km BaratDaya Kab. Jembrana-Bali,
104,2026-01-07,06:32:44,-8.45,115.78,33,1.8,18 km Timur Kab. Karangasem-Bali,
105,2026-01-07,06:43:36,-8.5,115.81,21,1.8,22 km Timur Kab. Karangasem-Bali,
106,2026-01-07,06:47:30,-8.45,115.78,33,2.4,18 km Timur Kab. Karangasem-Bali,
107,2026-01-07,07:04:22,-8.46,115.77,29,2.2,17 km Timur Kab. Karangasem-Bali,
108,2026-01-07,08:24:04,-9.34,116.23,35,2.6,71 km Selatan Kab. Lombok Tengah-NTB,
109,2026-01-07,08:39:13,-10.72,116.79,10,3.1,218 km Selatan Kab. Sumbawa Barat-NTB,
111,2026-01-07,10:36:21,-8.88,116.87,10,2.2,15 km Selatan Kab. Sumbawa Barat-NTB,
112,2026-01-07,11:25:48,-8.47,115.78,32,2.2,18 km Timur Kab. Karangasem-Bali,
114,2026-01-07,12:55:06,-8.2,115.57,10,2.4,28 km Utara Kab. Karangasem-Bali,
115,2026-01-07,12:58:52,-8.27,116.63,24,2.5,43 km Timur Kab. Lombok Utara-NTB,
116,2026-01-07,16:51:41,-8.28,116.57,10,2.3,36 km Timur Kab. Lombok Utara-NTB,
117,2026-01-07,16:59:44,-8.28,116.57,10,3.1,36 km Timur Kab. Lombok Utara-NTB,
118,2026-01-07,17:17:00,-8.26,116.57,11,2.5,37 km Timur Kab. Lombok Utara-NTB,
119,2026-01-07,17:23:29,-8.29,116.56,11,3.0,35 km Timur Kab. Lombok Utara-NTB,
120,2026-01-07,17:27:25,-8.27,116.57,11,3.8,37 km Timur Kab. Lombok Utara-NTB,
121,2026-01-07,17:28:36,-8.23,116.58,10,3.7,42 km Barat Laut Pulau Panjang-NTB,dirasakan di wilayah Lombok Timur III MMI
122,2026-01-07,17:36:11,-8.27,116.56,10,3.0,36 km Timur Kab. Lombok Utara-NTB,
123,2026-01-07,17:41:21,-8.29,116.56,11,2.7,35 km Timur Kab. Lombok Utara-NTB,
124,2026-01-07,17:49:14,-8.29,116.56,10,3.2,35 km Timur Kab. Lombok Utara-NTB,
125,2026-01-07,18:25:03,-8.26,116.59,10,2.2,39 km Timur Kab. Lombok Utara-NTB,
127,2026-01-07,19:05:20,-8.09,115.03,44,2.4,7 km Barat Kab. Buleleng-Bali,
128,2026-01-07,19:14:29,-9.13,117.09,59,2.3,51 km Tenggara Kab. Sumbawa Barat-NTB,
129,2026-01-07,19:50:04,-9.34,114.01,24,2.5,128 km BaratDaya Kab. Jembrana-Bali,
130,2026-01-07,20:02:24,-8.44,115.82,25,1.9,22 km Timur Kab. Karangasem-Bali,
131,2026-01-07,20:07:02,-8.41,115.79,27,2.0,20 km Timur Kab. Karangasem-Bali,
132,2026-01-07,20:19:34,-8.47,115.79,37,2.4,19 km Timur Kab. Karangasem-Bali,
133,2026-01-07,20:23:57,-8.47,115.8,35,2.0,20 km Timur Kab. Karangasem-Bali,
